Starting at 2016-03-11 16:21:27.821294...

	
Parameters:	
Table:claim_events_simple	
Limit Infrequent Events: 1	
Limit Infrequent Pairs: 1	
Prune KL-Divergence: False	
Window: 24	
Laplace Pseudocounts: 1	
P-value Threshold: 0.001	

Found:0 Checked:1 Candidates:10282  (AllegedRemoved AssRouteToOffice)
Found:588 Checked:31461 Candidates:399086  ((ClaimReported 0,23 Outbound) (ClaimSetup 0,23 LiabilityAnalysis))
Found:588 Checked:31462 Candidates:399085  ((ClaimSetup 0,23 LiabilityAnalysis) (ClaimReported 0,23 PartyEdited))
Found:588 Checked:31463 Candidates:399084  ((ClaimReported 0,23 PartyEdited) (ClaimSetup 0,23 LiabilityAnalysis))
Found:588 Checked:31464 Candidates:399083  ((ClaimSetup 0,23 LiabilityAnalysis) (ClaimReported 0,23 PerilActivity))
Found:588 Checked:31465 Candidates:399082  ((ClaimReported 0,23 PerilActivity) (ClaimSetup 0,23 LiabilityAnalysis))
Found:588 Checked:31466 Candidates:399081  ((ClaimSetup 0,23 LiabilityAnalysis) (ClaimReported 0,22 ReviewRemFromInbox))
Found:588 Checked:31467 Candidates:399080  ((ClaimReported 0,22 ReviewRemFromInbox) (ClaimSetup 0,23 LiabilityAnalysis))
Found:588 Checked:31468 Candidates:399079  ((ClaimSetup 0,23 LiabilityAnalysis) (ClaimReported 0,23 SuspendedItem))
Found:588 Checked:31469 Candidates:399078  ((ClaimReported 0,23 SuspendedItem) (ClaimSetup 0,23 LiabilityAnalysis))
Found:588 Checked:31470 Candidates:399077  ((ClaimSetup 0,23 LiabilityAnalysis) (ClaimReported 0,23 Suspense))
Found:588 Checked:31471 Candidates:399076  ((ClaimReported 0,23 Suspense) (ClaimSetup 0,23 LiabilityAnalysis))
Found:588 Checked:31472 Candidates:399075  ((ClaimSetup 0,23 LiabilityAnalysis) (ClaimReported 5,23 UnsuspendedItem))
Found:588 Checked:31473 Candidates:399074  ((ClaimReported 5,23 UnsuspendedItem) (ClaimSetup 0,23 LiabilityAnalysis))
Found:588 Checked:31474 Candidates:399073  ((ClaimSetup 0,23 LiabilityAnalysis) (ClaimReported 0,23 Vehicle))
Found:588 Checked:31475 Candidates:399072  ((ClaimReported 0,23 Vehicle) (ClaimSetup 0,23 LiabilityAnalysis))
Found:588 Checked:31476 Candidates:399071  ((ClaimSetup 0,23 LiabilityAnalysis) (ClaimReported 0,23 VehicleEdited))
Found:588 Checked:31477 Candidates:399070  ((ClaimReported 0,23 VehicleEdited) (ClaimSetup 0,23 LiabilityAnalysis))
Found:588 Checked:31478 Candidates:399069  ((ClaimSetup 0,23 LiabilityAnalysis) (ClaimSetup 1,2 AssReRouteQueue))
Found:588 Checked:31479 Candidates:399068  ((ClaimSetup 1,2 AssReRouteQueue) (ClaimSetup 0,23 LiabilityAnalysis))
Found:588 Checked:31480 Candidates:399067  ((ClaimSetup 0,23 LiabilityAnalysis) (ClaimSetup 0,23 AssToFileHandler))
Found:588 Checked:31481 Candidates:399066  ((ClaimSetup 0,23 AssToFileHandler) (ClaimSetup 0,23 LiabilityAnalysis))
Found:588 Checked:31482 Candidates:399065  ((ClaimSetup 0,23 LiabilityAnalysis) (ClaimSetup 0,23 AudatexReceipt))
Found:588 Checked:31483 Candidates:399064  ((ClaimSetup 0,23 AudatexReceipt) (ClaimSetup 0,23 LiabilityAnalysis))
Found:588 Checked:31484 Candidates:399063  ((ClaimSetup 0,23 LiabilityAnalysis) (ClaimSetup 0,23 ClaimActivityLog))
Found:588 Checked:31485 Candidates:399062  ((ClaimSetup 0,23 ClaimActivityLog) (ClaimSetup 0,23 LiabilityAnalysis))
Found:588 Checked:31486 Candidates:399061  ((ClaimSetup 0,23 LiabilityAnalysis) (ClaimSetup 0,23 ClaimEdited))
Found:588 Checked:31487 Candidates:399060  ((ClaimSetup 0,23 ClaimEdited) (ClaimSetup 0,23 LiabilityAnalysis))
Found:588 Checked:31488 Candidates:399059  ((ClaimSetup 0,23 LiabilityAnalysis) (ClaimSetup 0,23 COPSCarAsgSentCRP))
Found:588 Checked:31489 Candidates:399058  ((ClaimSetup 0,23 COPSCarAsgSentCRP) (ClaimSetup 0,23 LiabilityAnalysis))
Found:588 Checked:31490 Candidates:399057  ((ClaimSetup 0,23 LiabilityAnalysis) (ClaimSetup 0,6 DocAddInProgress))
Found:588 Checked:31491 Candidates:399056  ((ClaimSetup 0,6 DocAddInProgress) (ClaimSetup 0,23 LiabilityAnalysis))
Found:588 Checked:31492 Candidates:399055  ((ClaimSetup 0,23 LiabilityAnalysis) (ClaimSetup 0,6 DocumentAdded))
Found:588 Checked:31493 Candidates:399054  ((ClaimSetup 0,6 DocumentAdded) (ClaimSetup 0,23 LiabilityAnalysis))
Found:588 Checked:31494 Candidates:399053  ((ClaimSetup 0,23 LiabilityAnalysis) (ClaimSetup 0,23 InitialContact))
Found:588 Checked:31495 Candidates:399052  ((ClaimSetup 0,23 InitialContact) (ClaimSetup 0,23 LiabilityAnalysis))
Found:588 Checked:31496 Candidates:399051  ((ClaimSetup 0,23 Outbound) AssociatedToClaim)
Found:588 Checked:31497 Candidates:399050  (AssociatedToClaim (ClaimSetup 0,23 Outbound))
Found:588 Checked:31498 Candidates:399049  ((ClaimSetup 0,23 Outbound) AssociatedToParty)
Found:588 Checked:31499 Candidates:399048  (AssociatedToParty (ClaimSetup 0,23 Outbound))
Found:588 Checked:31500 Candidates:399047  ((ClaimSetup 0,23 Outbound) AssReRouteQueue)
Found:588 Checked:31501 Candidates:399046  (AssReRouteQueue (ClaimSetup 0,23 Outbound))
Found:588 Checked:31502 Candidates:399045  ((ClaimSetup 0,23 Outbound) AssRouteToOffice)
Found:588 Checked:31503 Candidates:399044  (AssRouteToOffice (ClaimSetup 0,23 Outbound))
Found:588 Checked:31504 Candidates:399043  ((ClaimSetup 0,23 Outbound) AssToFileHandler)
Found:588 Checked:31505 Candidates:399042  (AssToFileHandler (ClaimSetup 0,23 Outbound))
Found:588 Checked:31506 Candidates:399041  ((ClaimSetup 0,23 Outbound) AudatexReceipt)
Found:588 Checked:31507 Candidates:399040  (AudatexReceipt (ClaimSetup 0,23 Outbound))
Found:588 Checked:31508 Candidates:399039  ((ClaimSetup 0,23 Outbound) ClaimActivityLog)
Found:588 Checked:31509 Candidates:399038  (ClaimActivityLog (ClaimSetup 0,23 Outbound))
Found:588 Checked:31510 Candidates:399037  ((ClaimSetup 0,23 Outbound) ClaimClosed)
Found:588 Checked:31511 Candidates:399036  (ClaimClosed (ClaimSetup 0,23 Outbound))
Found:588 Checked:31512 Candidates:399035  ((ClaimSetup 0,23 Outbound) ClaimEdited)
Found:588 Checked:31513 Candidates:399034  (ClaimEdited (ClaimSetup 0,23 Outbound))
Found:588 Checked:31514 Candidates:399033  ((ClaimSetup 0,23 Outbound) ClaimReopened)
Found:588 Checked:31515 Candidates:399032  (ClaimReopened (ClaimSetup 0,23 Outbound))
Found:588 Checked:31516 Candidates:399031  ((ClaimSetup 0,23 Outbound) ClaimReported)
Found:588 Checked:31517 Candidates:399030  (ClaimReported (ClaimSetup 0,23 Outbound))
Found:588 Checked:31518 Candidates:399029  ((ClaimSetup 0,23 Outbound) ClaimSetup)
Found:588 Checked:31519 Candidates:399028  (ClaimSetup (ClaimSetup 0,23 Outbound))
Found:588 Checked:31520 Candidates:399027  ((ClaimSetup 0,23 Outbound) ClaimSummary)
Found:588 Checked:31521 Candidates:399026  (ClaimSummary (ClaimSetup 0,23 Outbound))
Found:588 Checked:31522 Candidates:399025  ((ClaimSetup 0,23 Outbound) CloseBlockRemoved)
Found:588 Checked:31523 Candidates:399024  (CloseBlockRemoved (ClaimSetup 0,23 Outbound))
Found:588 Checked:31524 Candidates:399023  ((ClaimSetup 0,23 Outbound) CloseBlockSet)
Found:588 Checked:31525 Candidates:399022  (CloseBlockSet (ClaimSetup 0,23 Outbound))
Found:588 Checked:31526 Candidates:399021  ((ClaimSetup 0,23 Outbound) Contact)
Found:588 Checked:31527 Candidates:399020  (Contact (ClaimSetup 0,23 Outbound))
Found:588 Checked:31528 Candidates:399019  ((ClaimSetup 0,23 Outbound) COPSCarAsgSentCRP)
Found:588 Checked:31529 Candidates:399018  (COPSCarAsgSentCRP (ClaimSetup 0,23 Outbound))
Found:588 Checked:31530 Candidates:399017  ((ClaimSetup 0,23 Outbound) COPSCarAsgSentPDR)
Found:588 Checked:31531 Candidates:399016  (COPSCarAsgSentPDR (ClaimSetup 0,23 Outbound))
Found:588 Checked:31532 Candidates:399015  ((ClaimSetup 0,23 Outbound) Correspondencsent)
Found:588 Checked:31533 Candidates:399014  (Correspondencsent (ClaimSetup 0,23 Outbound))
Found:588 Checked:31534 Candidates:399013  ((ClaimSetup 0,23 Outbound) Coverage)
Found:588 Checked:31535 Candidates:399012  (Coverage (ClaimSetup 0,23 Outbound))
Found:588 Checked:31536 Candidates:399011  ((ClaimSetup 0,23 Outbound) DateOfLossChanged)
Found:588 Checked:31537 Candidates:399010  (DateOfLossChanged (ClaimSetup 0,23 Outbound))
Found:588 Checked:31538 Candidates:399009  ((ClaimSetup 0,23 Outbound) DocAddInProgress)
Found:588 Checked:31539 Candidates:399008  (DocAddInProgress (ClaimSetup 0,23 Outbound))
Found:588 Checked:31540 Candidates:399007  ((ClaimSetup 0,23 Outbound) DocumentAdded)
Found:588 Checked:31541 Candidates:399006  (DocumentAdded (ClaimSetup 0,23 Outbound))
Found:588 Checked:31542 Candidates:399005  ((ClaimSetup 0,23 Outbound) DocumentFiled)
Found:588 Checked:31543 Candidates:399004  (DocumentFiled (ClaimSetup 0,23 Outbound))
Found:588 Checked:31544 Candidates:399003  ((ClaimSetup 0,23 Outbound) FYISent)
Found:588 Checked:31545 Candidates:399002  (FYISent (ClaimSetup 0,23 Outbound))
Found:588 Checked:31546 Candidates:399001  ((ClaimSetup 0,23 Outbound) grpPymtSubmit)
Found:588 Checked:31547 Candidates:399000  (grpPymtSubmit (ClaimSetup 0,23 Outbound))
Found:588 Checked:31548 Candidates:398999  ((ClaimSetup 0,23 Outbound) Inbound)
Found:588 Checked:31549 Candidates:398998  (Inbound (ClaimSetup 0,23 Outbound))
Found:588 Checked:31550 Candidates:398997  ((ClaimSetup 0,23 Outbound) InitialContact)
Distribution for ((ClaimSetup 0,23 Outbound) 0,2 InitialContact)
N_a: 11, N_ab: 8, Critical interval: ((0, 2)), P(success): 0.2389, p_value: 0.0009

Found:589 Checked:31551 Candidates:400080  (InitialContact (ClaimSetup 0,23 Outbound))
Found:589 Checked:31552 Candidates:400079  ((ClaimSetup 0,23 Outbound) IsoDataErrRpt)
Found:589 Checked:31553 Candidates:400078  (IsoDataErrRpt (ClaimSetup 0,23 Outbound))
Found:589 Checked:31554 Candidates:400077  ((ClaimSetup 0,23 Outbound) IsoMatchRpt)
Found:589 Checked:31555 Candidates:400076  (IsoMatchRpt (ClaimSetup 0,23 Outbound))
Found:589 Checked:31556 Candidates:400075  ((ClaimSetup 0,23 Outbound) IsoNoMatchRpt)
Found:589 Checked:31557 Candidates:400074  (IsoNoMatchRpt (ClaimSetup 0,23 Outbound))
Found:589 Checked:31558 Candidates:400073  ((ClaimSetup 0,23 Outbound) ItmReAssToFHndler)
Found:589 Checked:31559 Candidates:400072  (ItmReAssToFHndler (ClaimSetup 0,23 Outbound))
Found:589 Checked:31560 Candidates:400071  ((ClaimSetup 0,23 Outbound) LiabilityAnalysis)
Found:589 Checked:31561 Candidates:400070  (LiabilityAnalysis (ClaimSetup 0,23 Outbound))
Found:589 Checked:31562 Candidates:400069  ((ClaimSetup 0,23 Outbound) makePaymentSubmit)
Found:589 Checked:31563 Candidates:400068  (makePaymentSubmit (ClaimSetup 0,23 Outbound))
Found:589 Checked:31564 Candidates:400067  ((ClaimSetup 0,23 Outbound) MovefromParty)
Found:589 Checked:31565 Candidates:400066  (MovefromParty (ClaimSetup 0,23 Outbound))
Found:589 Checked:31566 Candidates:400065  ((ClaimSetup 0,23 Outbound) MovetoParty)
Found:589 Checked:31567 Candidates:400064  (MovetoParty (ClaimSetup 0,23 Outbound))
Found:589 Checked:31568 Candidates:400063  ((ClaimSetup 0,23 Outbound) MultDocAddBegin)
Found:589 Checked:31569 Candidates:400062  (MultDocAddBegin (ClaimSetup 0,23 Outbound))
Found:589 Checked:31570 Candidates:400061  ((ClaimSetup 0,23 Outbound) MultipleDocAdded)
Found:589 Checked:31571 Candidates:400060  (MultipleDocAdded (ClaimSetup 0,23 Outbound))
Found:589 Checked:31572 Candidates:400059  ((ClaimSetup 0,23 Outbound) Outbound)
Found:589 Checked:31573 Candidates:400058  (Outbound (ClaimSetup 0,23 Outbound))
Found:589 Checked:31574 Candidates:400057  ((ClaimSetup 0,23 Outbound) PartyAdded)
Found:589 Checked:31575 Candidates:400056  (PartyAdded (ClaimSetup 0,23 Outbound))
Found:589 Checked:31576 Candidates:400055  ((ClaimSetup 0,23 Outbound) PartyEdited)
Found:589 Checked:31577 Candidates:400054  (PartyEdited (ClaimSetup 0,23 Outbound))
Found:589 Checked:31578 Candidates:400053  ((ClaimSetup 0,23 Outbound) PerilActivity)
Found:589 Checked:31579 Candidates:400052  (PerilActivity (ClaimSetup 0,23 Outbound))
Found:589 Checked:31580 Candidates:400051  ((ClaimSetup 0,23 Outbound) Perils/Reserves)
Found:589 Checked:31581 Candidates:400050  (Perils/Reserves (ClaimSetup 0,23 Outbound))
Found:589 Checked:31582 Candidates:400049  ((ClaimSetup 0,23 Outbound) ReasonforEscalation)
Found:589 Checked:31583 Candidates:400048  (ReasonforEscalation (ClaimSetup 0,23 Outbound))
Found:589 Checked:31584 Candidates:400047  ((ClaimSetup 0,23 Outbound) ReceiptItem)
Found:589 Checked:31585 Candidates:400046  (ReceiptItem (ClaimSetup 0,23 Outbound))
Found:589 Checked:31586 Candidates:400045  ((ClaimSetup 0,23 Outbound) recordManualPymt)
Found:589 Checked:31587 Candidates:400044  (recordManualPymt (ClaimSetup 0,23 Outbound))
Found:589 Checked:31588 Candidates:400043  ((ClaimSetup 0,23 Outbound) RefAssign)
Found:589 Checked:31589 Candidates:400042  (RefAssign (ClaimSetup 0,23 Outbound))
Found:589 Checked:31590 Candidates:400041  ((ClaimSetup 0,23 Outbound) RefCompPDVE)
Found:589 Checked:31591 Candidates:400040  (RefCompPDVE (ClaimSetup 0,23 Outbound))
Found:589 Checked:31592 Candidates:400039  ((ClaimSetup 0,23 Outbound) Referral)
Found:589 Checked:31593 Candidates:400038  (Referral (ClaimSetup 0,23 Outbound))
Found:589 Checked:31594 Candidates:400037  ((ClaimSetup 0,23 Outbound) RefRemFromInbox)
Found:589 Checked:31595 Candidates:400036  (RefRemFromInbox (ClaimSetup 0,23 Outbound))
Found:589 Checked:31596 Candidates:400035  ((ClaimSetup 0,23 Outbound) RefRespAuthority)
Found:589 Checked:31597 Candidates:400034  (RefRespAuthority (ClaimSetup 0,23 Outbound))
Found:589 Checked:31598 Candidates:400033  ((ClaimSetup 0,23 Outbound) RefRespPDVE)
Found:589 Checked:31599 Candidates:400032  (RefRespPDVE (ClaimSetup 0,23 Outbound))
Found:589 Checked:31600 Candidates:400031  ((ClaimSetup 0,23 Outbound) RefRespRCC)
Found:589 Checked:31601 Candidates:400030  (RefRespRCC (ClaimSetup 0,23 Outbound))
Found:589 Checked:31602 Candidates:400029  ((ClaimSetup 0,23 Outbound) RefRespRental)
Found:589 Checked:31603 Candidates:400028  (RefRespRental (ClaimSetup 0,23 Outbound))
Found:589 Checked:31604 Candidates:400027  ((ClaimSetup 0,23 Outbound) RefRespSalvage)
Found:589 Checked:31605 Candidates:400026  (RefRespSalvage (ClaimSetup 0,23 Outbound))
Found:589 Checked:31606 Candidates:400025  ((ClaimSetup 0,23 Outbound) RefSentAuthority)
Found:589 Checked:31607 Candidates:400024  (RefSentAuthority (ClaimSetup 0,23 Outbound))
Found:589 Checked:31608 Candidates:400023  ((ClaimSetup 0,23 Outbound) RefSentCRD)
Found:589 Checked:31609 Candidates:400022  (RefSentCRD (ClaimSetup 0,23 Outbound))
Found:589 Checked:31610 Candidates:400021  ((ClaimSetup 0,23 Outbound) RefSentPDVE)
Found:589 Checked:31611 Candidates:400020  (RefSentPDVE (ClaimSetup 0,23 Outbound))
Found:589 Checked:31612 Candidates:400019  ((ClaimSetup 0,23 Outbound) RefSentRCC)
Found:589 Checked:31613 Candidates:400018  (RefSentRCC (ClaimSetup 0,23 Outbound))
Found:589 Checked:31614 Candidates:400017  ((ClaimSetup 0,23 Outbound) RefSentRental)
Found:589 Checked:31615 Candidates:400016  (RefSentRental (ClaimSetup 0,23 Outbound))
Found:589 Checked:31616 Candidates:400015  ((ClaimSetup 0,23 Outbound) RefSentSalvage)
Found:589 Checked:31617 Candidates:400014  (RefSentSalvage (ClaimSetup 0,23 Outbound))
Found:589 Checked:31618 Candidates:400013  ((ClaimSetup 0,23 Outbound) Rental)
Found:589 Checked:31619 Candidates:400012  (Rental (ClaimSetup 0,23 Outbound))
Found:589 Checked:31620 Candidates:400011  ((ClaimSetup 0,23 Outbound) ReviewRemFromInbox)
Found:589 Checked:31621 Candidates:400010  (ReviewRemFromInbox (ClaimSetup 0,23 Outbound))
Found:589 Checked:31622 Candidates:400009  ((ClaimSetup 0,23 Outbound) RiskReviewSent)
Found:589 Checked:31623 Candidates:400008  (RiskReviewSent (ClaimSetup 0,23 Outbound))
Found:589 Checked:31624 Candidates:400007  ((ClaimSetup 0,23 Outbound) RouteToInbox)
Found:589 Checked:31625 Candidates:400006  (RouteToInbox (ClaimSetup 0,23 Outbound))
Found:589 Checked:31626 Candidates:400005  ((ClaimSetup 0,23 Outbound) Salvage)
Found:589 Checked:31627 Candidates:400004  (Salvage (ClaimSetup 0,23 Outbound))
Found:589 Checked:31628 Candidates:400003  ((ClaimSetup 0,23 Outbound) SuspendedItem)
Distribution for ((ClaimSetup 0,23 Outbound) 0,5 SuspendedItem)
N_a: 20, N_ab: 16, Critical interval: ((0, 5)), P(success): 0.4139, p_value: 0.0005

Found:590 Checked:31629 Candidates:401226  (SuspendedItem (ClaimSetup 0,23 Outbound))
Found:590 Checked:31630 Candidates:401225  ((ClaimSetup 0,23 Outbound) Suspense)
Distribution for ((ClaimSetup 0,23 Outbound) 0,3 Suspense)
N_a: 15, N_ab: 11, Critical interval: ((0, 3)), P(success): 0.2939, p_value: 0.0006

Found:591 Checked:31631 Candidates:402374  (Suspense (ClaimSetup 0,23 Outbound))
Found:591 Checked:31632 Candidates:402373  ((ClaimSetup 0,23 Outbound) TLWCompleteReprble)
Found:591 Checked:31633 Candidates:402372  (TLWCompleteReprble (ClaimSetup 0,23 Outbound))
Found:591 Checked:31634 Candidates:402371  ((ClaimSetup 0,23 Outbound) TLWCompleteTtlLoss)
Found:591 Checked:31635 Candidates:402370  (TLWCompleteTtlLoss (ClaimSetup 0,23 Outbound))
Found:591 Checked:31636 Candidates:402369  ((ClaimSetup 0,23 Outbound) UnsuspendedItem)
Found:591 Checked:31637 Candidates:402368  (UnsuspendedItem (ClaimSetup 0,23 Outbound))
Found:591 Checked:31638 Candidates:402367  ((ClaimSetup 0,23 Outbound) updtPymtVoid)
Found:591 Checked:31639 Candidates:402366  (updtPymtVoid (ClaimSetup 0,23 Outbound))
Found:591 Checked:31640 Candidates:402365  ((ClaimSetup 0,23 Outbound) Vehicle)
Found:591 Checked:31641 Candidates:402364  (Vehicle (ClaimSetup 0,23 Outbound))
Found:591 Checked:31642 Candidates:402363  ((ClaimSetup 0,23 Outbound) VehicleEdited)
Found:591 Checked:31643 Candidates:402362  (VehicleEdited (ClaimSetup 0,23 Outbound))
Found:591 Checked:31644 Candidates:402361  ((ClaimSetup 0,23 Outbound) VehSlvgLogCompltd)
Found:591 Checked:31645 Candidates:402360  (VehSlvgLogCompltd (ClaimSetup 0,23 Outbound))
Found:591 Checked:31646 Candidates:402359  ((ClaimSetup 0,23 Outbound) XPayAuthApprv)
Found:591 Checked:31647 Candidates:402358  (XPayAuthApprv (ClaimSetup 0,23 Outbound))
Found:591 Checked:31648 Candidates:402357  ((ClaimSetup 0,23 Outbound) XPayAuthLimit)
Found:591 Checked:31649 Candidates:402356  (XPayAuthLimit (ClaimSetup 0,23 Outbound))
Found:591 Checked:31650 Candidates:402355  ((ClaimSetup 0,23 Outbound) (AssReRouteQueue 0,3 AssToFileHandler))
Found:591 Checked:31651 Candidates:402354  ((AssReRouteQueue 0,3 AssToFileHandler) (ClaimSetup 0,23 Outbound))
Found:591 Checked:31652 Candidates:402353  ((ClaimSetup 0,23 Outbound) (AssReRouteQueue 1,2 ClaimActivityLog))
Found:591 Checked:31653 Candidates:402352  ((AssReRouteQueue 1,2 ClaimActivityLog) (ClaimSetup 0,23 Outbound))
Found:591 Checked:31654 Candidates:402351  ((ClaimSetup 0,23 Outbound) (AssReRouteQueue 1,7 InitialContact))
Found:591 Checked:31655 Candidates:402350  ((AssReRouteQueue 1,7 InitialContact) (ClaimSetup 0,23 Outbound))
Found:591 Checked:31656 Candidates:402349  ((ClaimSetup 0,23 Outbound) (AssReRouteQueue 1,3 ReviewRemFromInbox))
Found:591 Checked:31657 Candidates:402348  ((AssReRouteQueue 1,3 ReviewRemFromInbox) (ClaimSetup 0,23 Outbound))
Found:591 Checked:31658 Candidates:402347  ((ClaimSetup 0,23 Outbound) (AssRouteToOffice 0,21 AssToFileHandler))
Found:591 Checked:31659 Candidates:402346  ((AssRouteToOffice 0,21 AssToFileHandler) (ClaimSetup 0,23 Outbound))
Found:591 Checked:31660 Candidates:402345  ((ClaimSetup 0,23 Outbound) (AssRouteToOffice 1,23 ClaimActivityLog))
Found:591 Checked:31661 Candidates:402344  ((AssRouteToOffice 1,23 ClaimActivityLog) (ClaimSetup 0,23 Outbound))
Found:591 Checked:31662 Candidates:402343  ((ClaimSetup 0,23 Outbound) (AssRouteToOffice 0,23 ClaimEdited))
Found:591 Checked:31663 Candidates:402342  ((AssRouteToOffice 0,23 ClaimEdited) (ClaimSetup 0,23 Outbound))
Found:591 Checked:31664 Candidates:402341  ((ClaimSetup 0,23 Outbound) (AssRouteToOffice 0,23 InitialContact))
Found:591 Checked:31665 Candidates:402340  ((AssRouteToOffice 0,23 InitialContact) (ClaimSetup 0,23 Outbound))
Found:591 Checked:31666 Candidates:402339  ((ClaimSetup 0,23 Outbound) (AssRouteToOffice 0,7 LiabilityAnalysis))
Found:591 Checked:31667 Candidates:402338  ((AssRouteToOffice 0,7 LiabilityAnalysis) (ClaimSetup 0,23 Outbound))
Found:591 Checked:31668 Candidates:402337  ((ClaimSetup 0,23 Outbound) (AssRouteToOffice 0,23 Outbound))
Found:591 Checked:31669 Candidates:402336  ((AssRouteToOffice 0,23 Outbound) (ClaimSetup 0,23 Outbound))
Found:591 Checked:31670 Candidates:402335  ((ClaimSetup 0,23 Outbound) (AssRouteToOffice 0,23 PerilActivity))
Found:591 Checked:31671 Candidates:402334  ((AssRouteToOffice 0,23 PerilActivity) (ClaimSetup 0,23 Outbound))
Found:591 Checked:31672 Candidates:402333  ((ClaimSetup 0,23 Outbound) (AssRouteToOffice 0,11 ReviewRemFromInbox))
Found:591 Checked:31673 Candidates:402332  ((AssRouteToOffice 0,11 ReviewRemFromInbox) (ClaimSetup 0,23 Outbound))
Found:591 Checked:31674 Candidates:402331  ((ClaimSetup 0,23 Outbound) (AssRouteToOffice 0,23 SuspendedItem))
Found:591 Checked:31675 Candidates:402330  ((AssRouteToOffice 0,23 SuspendedItem) (ClaimSetup 0,23 Outbound))
Found:591 Checked:31676 Candidates:402329  ((ClaimSetup 0,23 Outbound) (AssRouteToOffice 0,23 Suspense))
Found:591 Checked:31677 Candidates:402328  ((AssRouteToOffice 0,23 Suspense) (ClaimSetup 0,23 Outbound))
Found:591 Checked:31678 Candidates:402327  ((ClaimSetup 0,23 Outbound) (AssRouteToOffice 1,23 Vehicle))
Found:591 Checked:31679 Candidates:402326  ((AssRouteToOffice 1,23 Vehicle) (ClaimSetup 0,23 Outbound))
Found:591 Checked:31680 Candidates:402325  ((ClaimSetup 0,23 Outbound) (AssToFileHandler 0,7 ClaimActivityLog))
Found:591 Checked:31681 Candidates:402324  ((AssToFileHandler 0,7 ClaimActivityLog) (ClaimSetup 0,23 Outbound))
Found:591 Checked:31682 Candidates:402323  ((ClaimSetup 0,23 Outbound) (AssToFileHandler 0,9 ClaimEdited))
Found:591 Checked:31683 Candidates:402322  ((AssToFileHandler 0,9 ClaimEdited) (ClaimSetup 0,23 Outbound))
Found:591 Checked:31684 Candidates:402321  ((ClaimSetup 0,23 Outbound) (AssToFileHandler 0,7 COPSCarAsgSentCRP))
Found:591 Checked:31685 Candidates:402320  ((AssToFileHandler 0,7 COPSCarAsgSentCRP) (ClaimSetup 0,23 Outbound))
Found:591 Checked:31686 Candidates:402319  ((ClaimSetup 0,23 Outbound) (AssToFileHandler 1,3 Correspondencsent))
Found:591 Checked:31687 Candidates:402318  ((AssToFileHandler 1,3 Correspondencsent) (ClaimSetup 0,23 Outbound))
Found:591 Checked:31688 Candidates:402317  ((ClaimSetup 0,23 Outbound) (AssToFileHandler 0,6 DocAddInProgress))
Found:591 Checked:31689 Candidates:402316  ((AssToFileHandler 0,6 DocAddInProgress) (ClaimSetup 0,23 Outbound))
Found:591 Checked:31690 Candidates:402315  ((ClaimSetup 0,23 Outbound) (AssToFileHandler 0,6 DocumentAdded))
Found:591 Checked:31691 Candidates:402314  ((AssToFileHandler 0,6 DocumentAdded) (ClaimSetup 0,23 Outbound))
Found:591 Checked:31692 Candidates:402313  ((ClaimSetup 0,23 Outbound) (AssToFileHandler 1,2 FYISent))
Found:591 Checked:31693 Candidates:402312  ((AssToFileHandler 1,2 FYISent) (ClaimSetup 0,23 Outbound))
Found:591 Checked:31694 Candidates:402311  ((ClaimSetup 0,23 Outbound) (AssToFileHandler 0,9 InitialContact))
Found:591 Checked:31695 Candidates:402310  ((AssToFileHandler 0,9 InitialContact) (ClaimSetup 0,23 Outbound))
Found:591 Checked:31696 Candidates:402309  ((ClaimSetup 0,23 Outbound) (AssToFileHandler 0,9 LiabilityAnalysis))
Found:591 Checked:31697 Candidates:402308  ((AssToFileHandler 0,9 LiabilityAnalysis) (ClaimSetup 0,23 Outbound))
Found:591 Checked:31698 Candidates:402307  ((ClaimSetup 0,23 Outbound) (AssToFileHandler 0,7 Outbound))
Found:591 Checked:31699 Candidates:402306  ((AssToFileHandler 0,7 Outbound) (ClaimSetup 0,23 Outbound))
Found:591 Checked:31700 Candidates:402305  ((ClaimSetup 0,23 Outbound) (AssToFileHandler 0,2 PartyEdited))
Found:591 Checked:31701 Candidates:402304  ((AssToFileHandler 0,2 PartyEdited) (ClaimSetup 0,23 Outbound))
Found:591 Checked:31702 Candidates:402303  ((ClaimSetup 0,23 Outbound) (AssToFileHandler 0,9 PerilActivity))
Found:591 Checked:31703 Candidates:402302  ((AssToFileHandler 0,9 PerilActivity) (ClaimSetup 0,23 Outbound))
Found:591 Checked:31704 Candidates:402301  ((ClaimSetup 0,23 Outbound) (AssToFileHandler 1,2 Referral))
Found:591 Checked:31705 Candidates:402300  ((AssToFileHandler 1,2 Referral) (ClaimSetup 0,23 Outbound))
Found:591 Checked:31706 Candidates:402299  ((ClaimSetup 0,23 Outbound) (AssToFileHandler 1,2 Rental))
Found:591 Checked:31707 Candidates:402298  ((AssToFileHandler 1,2 Rental) (ClaimSetup 0,23 Outbound))
Found:591 Checked:31708 Candidates:402297  ((ClaimSetup 0,23 Outbound) (AssToFileHandler 0,5 ReviewRemFromInbox))
Found:591 Checked:31709 Candidates:402296  ((AssToFileHandler 0,5 ReviewRemFromInbox) (ClaimSetup 0,23 Outbound))
Found:591 Checked:31710 Candidates:402295  ((ClaimSetup 0,23 Outbound) (AssToFileHandler 0,9 SuspendedItem))
